"arna0440-dos-code_text" "arna0440-source_text" "blac0350-code_text" "dove0550-code_text" "jame0551-code_text" "long0500-code_text" "muno0370-code_text" "olss0551-code_text" "oska0551-code_text" "supn0350-code_text" "vane0560-code_text" "wood0350-code_text" "wood043b-code_text"
"word" 0 0.252585999518884 0 0 0 0 0 0 0 0 0.0902052168683756 0.44757502384621 0.073295870999267
"plac" 0 0.420976665864806 0 0 0 0 0 0 0 0 0.187927535142449 0.205444273240883 0.195455655998045
"score" 0 0.396920856386817 0 0 0 0 0 0 0 0 0.135307825302563 0.271479932496882 0.17102369899829
"limit" 0 0.45706038008179 0 0 0 0 0 0 0 0 0.180410433736751 0.132071318511996 0.34204739799658
"travel" 0 0.324753427952851 0 0 0 0 0 0 0 0 0.0902052168683756 0.271479932496882 0.439775225995602
"true" 0 0.132306952128939 0 0 0 0.76530612244898 0 0 0.627615062761506 0 0.285649853416523 0.220118864186661 0.17102369899829
"clock" 0 0.2165022853019 0 0 0 0 0 0 0 0 0.255581447793731 0.154083204930663 0.439775225995602
"dwarf" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.255581447793731 0.234793455132438 0.317615440996824
"gt" 0 0.505171999037768 0 0 0 0 0 0 0 0 0.142824926708261 0.220118864186661 0
"holdng" 0 0.300697618474862 0 0 0 0 0 0 0 0 0.33075246185071 0.132071318511996 0.0977278279990227
"return" 0 0.336781332691845 0 0 0 0.510204081632653 0 0 0.836820083682008 0 0.00751710140569796 0.403551251008878 0.0244319569997557
"format" 0 0.420976665864806 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.0225513042170939 0.366864773644435 0
"integer" 0 0.529227808515757 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0150342028113959 0.27881722796977 0
"are" 0 0.0120279047389945 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.202961737953845 0.344852887225769 0.17102369899829
"put" 0 0.204474380562906 0 0 0 0 0 0 0 0 0.225513042170939 0.146745909457774 0.390911311996091
"rod" 0 0.312725523213856 0 0 0 0 0 0 0 0 0.172893332331053 0.198106977767995 0.17102369899829
"snake" 0 0.240558094779889 0 0 0 0 0 0 0 0 0.202961737953845 0.198106977767995 0.219887612997801
"speak" 0 0.0601395236949723 0 0 0 0 0 0 0 0 0.503645794181763 0.0586983637831095 0.0488639139995114
"vocab" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.00751710140569796 0.469586910264876 0.073295870999267
"closed" 0 0.240558094779889 0 0 0 0 0 0 0 0 0.217995940765241 0.176095091349329 0.146591741998534
"mod" 0 0.252585999518884 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.0751710140569796 0.249468046078216 0.268751526997312
"section" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.240547244982335 0.322841000807102 0.0244319569997557
"atloc" 0 0.34880923743084 0 0 0 0 0 0 0 0 0.0826881154626776 0.205444273240883 0.195455655998045
"no" 0 0.0601395236949723 0 0 0 0.255102040816327 0 0 0.418410041841004 0 0.217995940765241 0.242130750605327 0.146591741998534
"oyster" 0 0.252585999518884 0 0 0 0 0 0 0 0 0.165376230925355 0.183432386822217 0.195455655998045
"can" 0 0.0240558094779889 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.225513042170939 0.176095091349329 0.366479354996335
"kc" 0 0.890064950685591 0 0 0 0 0 0 0 0 0 0 0
"axe" 0 0.156362761606928 0 0 0 0 0 0 0 0 0.285649853416523 0.124734023039108 0.0977278279990227
"chain" 0 0.240558094779889 0 0 0 0 0 0 0 0 0.172893332331053 0.176095091349329 0.122159784998778
"false" 0 0.228530190040895 0 0 0 1.02040816326531 0 0 1.25523012552301 0 0.0826881154626776 0.176095091349329 0.195455655998045
"continue" 0 0.481116189559779 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0 0.190769682295106 0.0244319569997557
"number" 0 0.0360837142169834 0 0 0 0 0 0 0 0 0.195444636548147 0.256805341551104 0.122159784998778
"lines" 0 0.433004570603801 0 0 0 0 0 0 0 0 0.0451026084341878 0.16875779587644 0.073295870999267
"cave" 0 0.0481116189559779 0 0 0 0 0 0 0 0 0.150342028113959 0.190769682295106 0.415343268995847
"line" 0 0.276641808996873 0 0 0 0 0 0 0.627615062761506 0 0.150342028113959 0.146745909457774 0.0244319569997557
"vase" 0 0.252585999518884 0 0 0 0 0 0 0 0 0.165376230925355 0.161420500403551 0.0488639139995114
"le" 0 0.408948761125812 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0526197098398857 0.154083204930663 0
